trust,surprise## the wonders of modern science   ##wonder
sadness## depression of the space bar on the typewriter   ##depression
fear## he gives me the creeps   ##creeps
fear## a crawl was all that the injured man could manage   ##creeps
fear## the traffic moved at a creep   ##creeps
disgust## he was held in contempt   ##contempt
disgust## the despite in which outsiders were held is legendary   ##contempt
disgust## she wanted neither favor nor despite   ##despite
disgust## a person of unflagging conscience   ##conscience
disgust## he has no conscience about his cruelty   ##conscience
disgust## the army retreated in confusion   ##confusion
disgust## a confusion of impressions   ##confusion
disgust## the confusion of tongues at the Tower of Babel   ##confusion
disgust## he changed his name in order to avoid confusion with the notorious outlaw   ##confusion
trust,fear## the safety of the ship is the captain's concern   ##concern
trust,fear## She felt strong concern for those less fortunate   ##concern
trust,fear## he bought his brother's business   ##concern
trust,fear## a small mom-and-pop business   ##concern
trust,fear## a racially integrated business concern   ##concern
fear## no medical care was required   ##care
fear## the old car needs constant attention   ##care
fear## he exercised caution in opening the door   ##care
fear## he handled the vase with care   ##care
fear## his major care was the illness of his wife   ##care
fear## he is in the care of a bodyguard   ##care
fear## he wrote the manual on car care   ##care
joy## the absence of fences created a mysterious intimacy in which no one knew privacy   ##intimacy
joy## their closeness grew as the night wore on   ##intimacy
disgust## he had to undergo one humiliation after another   ##humiliation
trust## he held the children spellbound with magic tricks and other fascinations   ##fascination
trust## the medical fraternity   ##brotherhood
trust## you have to join the union in order to get a job   ##brotherhood
sadness## he had a bad case of the blues   ##blues
sadness## he had eyes of bright blue   ##blues
sadness## she was wearing blue   ##blues
sadness## the Union army was a vast blue   ##blues
sadness## he shot an arrow into the blue   ##blues
joy## with his classmates he felt a sense of belonging   ##belonging
joy## the sudden knock floored him   ##bang
joy## he took a bash right in his face   ##bang
joy## he got a bang on the head   ##bang
joy## that song was his first hit and marked the beginning of his career   ##bang
joy## that new Broadway show is a real smasher   ##bang
joy## the party went with a bang   ##bang
joy## he gave the ball a powerful kick   ##boot
joy## the team's kicking was excellent   ##boot
joy## the wrestler's charge carried him past his adversary   ##charge
joy## the battle began with a cavalry charge   ##charge
joy## he was arrested on a charge of larceny   ##charge
joy## the admission charge   ##charge
joy## the battery needed a fresh charge   ##charge
joy## a confidential mission to London   ##charge
joy## his charge was deliver a message   ##charge
joy## the teacher led her charges across the street   ##charge
joy## the charges against the estate   ##charge
joy## Freud thought of cathexis as a psychic analog of an electrical charge   ##charge
joy## they submitted their charges at the end of each month   ##charge
joy## the judge's charge to the jury   ##charge
joy## the newspaper published charges that Jones was guilty of drunken driving   ##charge
joy## this cartridge has a powder charge of 50 grains   ##charge
joy## in his haste to leave he forgot his book   ##rush
joy## come back after the rush   ##rush
joy## the linebackers were ready to stop a rush   ##rush
joy## he heard the flush of a toilet   ##flush
joy## there was a little gush of blood   ##flush
joy## she attacked him with an outpouring of words   ##flush
joy## I have a gripe about the service here   ##kick
joy## a sidecar is a smooth drink but it has a powerful kick   ##kick
joy## the kick must be synchronized with the arm movements   ##kick
joy## the swimmer's kicking left a wake behind him   ##kick
trust## attachment to a formal agenda   ##attachment
trust## adherence to a fat-free diet   ##attachment
trust## the adhesion of Seville was decisive   ##attachment
surprise## he looked at me in astonishment   ##amazement
trust## he gave the project his blessing   ##approval
trust## his decision merited the approval of any sensible person   ##approval
trust## although she fussed at them, she secretly viewed all her children with approval   ##approval
trust## he bought it on approval   ##approval
trust## words of approval seldom passed his lips   ##approval
fear## the student looked around the examination room with apprehension   ##dread
anticipation## each of them had their own anticipations   ##anticipation
anticipation## an indicator of expectancy in development   ##anticipation
anger## washing dishes was a nuisance before we got a dish washer   ##annoyance
anger## a bit of a bother   ##annoyance
anger## he's not a friend, he's an infliction   ##annoyance
anger## the aggravation of her condition resulted from lack of care   ##aggravation
trust## in your heart you know it is true   ##heart
trust## her story would melt your bosom   ##heart
trust## he stood still, his heart thumping wildly   ##heart
trust## he kept fighting on pure spunk   ##heart
trust## you haven't got the heart for baseball   ##heart
trust## it is in the center of town   ##heart
trust## they ran forward into the heart of the struggle   ##heart
trust## they were in the eye of the storm   ##heart
trust## the gist of the prosecutor's argument   ##heart
trust## the heart and soul of the Republican Party   ##heart
trust## the nub of the story   ##heart
trust## he had a change of heart   ##heart
trust## he drew a heart and called it a valentine   ##heart
trust## a five-pound beef heart will serve six   ##heart
trust## he led the queen of hearts   ##heart
trust## hearts were trumps   ##heart
disgust## his treatment of the children is an abomination   ##abomination
anger## he ignored their teases   ##teasing
anger## his ribbing was gentle but persistent   ##teasing
anger## the parody was just a form of teasing   ##teasing
joy## the stopping point of each round was signaled by a bell   ##close
joy## the market was up at the finish   ##close
joy## they were playing better at the close of the season   ##close
joy## in conclusion I want to say...   ##close
disgust,fear## there was too much anger and disturbance   ##upset
disgust,fear## she didn't realize the upset she caused me   ##upset
disgust,fear## his carelessness could have caused an ecological upset   ##upset
disgust,fear## she was unprepared for this sudden overthrow of their normal way of living   ##upset
disgust,fear## the doctor prescribed some medicine for the disorder   ##upset
disgust,fear## everyone gets stomach upsets from time to time   ##upset
disgust,fear## he was badly bruised by the upset of his sled at a high speed   ##upset
disgust,fear## the biggest upset since David beat Goliath   ##upset
joy## he emptied the contents of his pockets   ##content
joy## the two groups were similar in content   ##content
joy## the gas tank has a capacity of 12 gallons   ##content
joy## he relaxed in sleepy contentedness   ##content
joy## they could read to their heart's content   ##content
joy## a moving picture of a train is more dramatic than a still picture of the same subject   ##content
disgust## the lecture was beyond his most strenuous graspings   ##grasping
fear## the Romans had no pity for the defeated   ##defeated
sadness## you have four downs to gain ten yards   ##down
sadness## the stock market fell to a new low   ##low
fear## they prey on the hopes of the desperate   ##desperate
disgust## she knew many repellents to his advances   ##repellent
disgust## they devote their lives to caring for the sick   ##sick
fear## vigorous worrying finally loosened the saw   ##worrying
trust## friendlies came to their rescue   ##friendly
sadness## the powers of darkness   ##dark
sadness## he was in the dark concerning their intentions   ##dark
sadness## his lectures dispelled the darkness   ##dark
joy## her screaming attracted the neighbors   ##screaming
joy## he ducked at the screechings of shells   ##screaming
joy## he heard the scream of the brakes   ##screaming
anticipation## a lofty aspirant   ##hopeful
anticipation## two executive hopefuls joined the firm   ##hopeful
anticipation## the audience was full of Madonna wannabes   ##hopeful
disgust## the platoon ran into a pack of hostiles   ##hostile
disgust## the evil that men do lives after them   ##evil
disgust## attempts to explain the origin of evil in the world   ##evil
sadness## the urban poor need assistance   ##poor
sadness## the death of his wife caused him great distress   ##suffering
joy## it's all over but the shouting   ##cheering
disgust## they fumbled around in total darkness   ##black
disgust## in the black of night   ##black
disgust## the widow wore black   ##black
fear## he gave the ball a shy to the first baseman   ##shy
fear## whitewater rafting is not for the timid   ##timid
sadness## take the bad with the good   ##bad
surprise## The economy, stupid!   ##stupid
sadness## I hate to hear the crying of a child   ##weeping
sadness## she was in tears   ##weeping
surprise## he gave a howl of pain   ##howling
surprise## howls of laughter   ##howling
surprise## their howling had no effect   ##howling
surprise## the death rattle   ##rattling
trust## he didn't make a move to help   ##move
trust## his first move was to hire a lawyer   ##move
trust## they say that three moves equal one fire   ##move
trust## the reflex motion of his eyebrows revealed his surprise   ##move
trust## movement is a sign of life   ##move
trust## an impatient move of his hand   ##move
trust## gastrointestinal motility   ##move
trust## police controlled the motion of the crowd   ##move
trust## the movement of people from the farms to the cities   ##move
trust## his move put him directly in my path   ##move
trust## the strike lasted more than a month before it was settled   ##strike
trust## the strike was scheduled to begin at dawn   ##strike
trust## he finished with three strikes in the tenth frame   ##strike
trust## this pitcher throws more strikes than balls   ##strike
fear## bombers were put on alert during the crisis   ##alert
anger,surprise## what the devil   ##devil
anger,surprise## the deuce with it   ##devil
anger,surprise## the dickens you say   ##devil
anger,surprise## he chased the young hellions out of his yard   ##devil
trust## it sounds good but what's the catch?   ##catch
trust## the catch was only 10 fish   ##catch
trust## he shared his catch with the others   ##catch
trust## he used a book as a stop to hold the door open   ##catch
trust## he played catch with his son in the backyard   ##catch
trust## Mays made the catch with his back to the plate   ##catch
trust## he made a grab for the ball before it landed   ##catch
trust## Martin's snatch at the bridle failed and the horse raced away   ##catch
trust## the infielder's snap and throw was a single motion   ##catch
trust## the policeman on the beat got credit for the collar   ##catch
trust## his smile was part of his appeal to her   ##charm
trust## he whispered a spell as he moved his hands   ##charm
trust## inscribed around its base is a charm in Balinese   ##charm
trust## they waited at the entrance to the garden   ##entrance
trust## beggars waited just outside the entryway to the cathedral   ##entrance
trust## she made a grand entrance   ##entrance
joy## flowers added a note of cheerfulness to the drab room   ##cheer
joy## profound religious impulses   ##urge
joy## why this urge to travel?   ##urge
joy## he is a man who enjoys his comfort   ##comfort
joy## she longed for the comfortableness of her armchair   ##comfort
joy## his presence was a consolation to her   ##comfort
joy## a life of luxury and ease   ##comfort
joy## he had all the material comforts of this world   ##comfort
joy## his friendship was a comfort   ##comfort
joy## a padded chair was one of the room's few comforts   ##comfort
joy## it gave comfort to the enemy   ##comfort
joy## the bust of Napoleon stood on a console   ##console
joy## second place was no consolation to him   ##solace
trust,fear## an interest in music   ##interest
trust,fear## for your sake   ##interest
trust,fear## died for the sake of his country   ##interest
trust,fear## in the interest of safety   ##interest
trust,fear## in the common interest   ##interest
trust,fear## they said nothing of great interest   ##interest
trust,fear## primary colors can add interest to a room   ##interest
trust,fear## how much interest do you pay on your mortgage?   ##interest
trust,fear## they have interests all over the world   ##interest
trust,fear## a stake in the company's future   ##interest
trust,fear## the iron interests stepped up production   ##interest
trust,fear## sailing is her favorite pastime   ##interest
trust,fear## his main pastime is gambling   ##interest
trust,fear## he counts reading among his interests   ##interest
trust,fear## they criticized the boy for his limited pursuits   ##interest
disgust## he had to close the window against the flurries   ##flurry
disgust## there was a flurry of chicken feathers   ##flurry
fear## the traffic advanced at a crawl   ##crawl
fear## it was a narrow defeat   ##defeat
fear## the army's only defeat   ##defeat
fear## they suffered a convincing licking   ##defeat
fear## a ship in distress   ##distress
fear## she was the classic maiden in distress   ##distress
fear## the patient appeared to be in distress   ##distress
fear## Originally distress was a landlord's remedy against a tenant for unpaid rents or property damage but now the landlord is given a landlord's lien   ##distress
anger## she wore dun   ##dun
anger## incense filled the room   ##incense
disgust## don't get in a stew   ##stew
disgust## he's in a sweat about exams   ##stew
sadness,anger## a plague of grasshoppers   ##plague
sadness,anger## those children are a damn plague   ##plague
anticipation## he is the beneficiary of a generous trust set up by his father   ##trust
anticipation## he wrote the paper with considerable reliance on the work of other scientists   ##trust
anticipation## he put more trust in his own two legs than in the gun   ##trust
anticipation## the experience destroyed his trust and personal dignity   ##trust
anticipation## they set up the trust in the hope of gaining a monopoly   ##trust
anticipation## he cherished the faith of a good woman   ##trust
anticipation## the doctor-patient relationship is based on trust   ##trust
anticipation## he took me into his confidence   ##trust
anticipation## he betrayed their trust   ##trust
anticipation## a man of many desires   ##desire
joy## she writes books for children   ##kid
joy## they're just kids   ##kid
joy## `tiddler' is a British term for youngster   ##kid
joy## kid gloves   ##kid
joy## they had three children   ##kid
joy## they were able to send their kids to college   ##kid
trust,joy## dogs, foxes, and the like", "we don't want the likes of you around here   ##like
trust,joy## We'll not see his like again   ##like
trust,joy## I can't tolerate people of his ilk   ##like
joy## a good wallow in the water   ##wallow
fear## he wooed her with the confident dash of a cavalry officer   ##dash
fear## he is preparing for the 100-yard dash   ##dash
fear## he made a dash for the door   ##dash
anticipation## he longed for the touch of her hand   ##touch
anticipation## the cooling touch of the night air   ##touch
anticipation## only sight and touch enable us to locate objects in the space around us   ##touch
anticipation## there was a touch of sarcasm in his tone   ##touch
anticipation## he detected a ghost of a smile on her face   ##touch
anticipation## this room needs a woman's touch   ##touch
anticipation## at his touch the room filled with lights   ##touch
anticipation## this dish could use a touch of garlic   ##touch
anticipation## the pilot made contact with the base   ##touch
anticipation## he got in touch with his colleagues   ##touch
anticipation## he has a touch of rheumatism   ##touch
anticipation## he watched the beggar trying to make a touch   ##touch
anticipation## she likes the touch of silk on her skin   ##touch
anticipation## the surface had a greasy feeling   ##touch
anticipation## he has a master's touch   ##touch
anticipation## this piano has a wonderful touch   ##touch
anticipation## the aftermath of war   ##wake
anticipation## in the wake of the accident no one knew how many had been injured   ##wake
anticipation## the motorboat's wake capsized the canoe   ##wake
anticipation## there's no weeping at an Irish wake   ##wake
anticipation## the heating system wasn't working   ##heat
anticipation## they have radiant heating   ##heat
surprise## he collected dry sticks for a campfire   ##stick
surprise## the kid had a candied apple on a stick   ##stick
surprise## fever left him weak on his sticks   ##stick
surprise## cinnamon sticks   ##stick
surprise## a stick of dynamite   ##stick
surprise## the policy so far is all stick and no carrot   ##stick
surprise## he loved to solve chessmate puzzles   ##puzzle
surprise## that's a real puzzler   ##puzzle
surprise## in the old days a policeman walked a beat and knew all his people by name   ##beat
surprise## he could feel the beat of her heart   ##beat
surprise## the piece has a fast rhythm   ##beat
surprise## the conductor set the beat   ##beat
surprise## he heard the beat of a drum   ##beat
surprise## the cox raised the beat   ##beat
surprise## the signal was two beats on the steam pipe   ##beat
surprise## don't put on airs with me   ##pose
disgust## stayed home in a sulk   ##sulk
